t,pos,vel,u,pref
0.01,0.0953251,-1.3942,2.43174, 1
0.02,0.081383,-1.3569,2.43174, 1
0.03,0.067814,-1.31983,2.43174, 1
0.04,0.0546158,-1.28299,2.43174, 1
0.05,0.0417859,-1.24639,2.43174, 1
0.06,0.029322,-1.21002,2.43174, 1
0.07,0.0172218,-1.1739,2.43174, 1
0.08,0.00548282,-1.13801,2.43174, 1
0.09,-0.00589733,-1.10237,2.43174, 1
0.1,-0.016921,-1.06697,2.43174, 1
0.11,-0.0275908,-1.03511,2.10237, 1
0.12,-0.0379419,-1.00346,2.10237, 1
0.13,-0.0479764,-0.972021,2.10237, 1
0.14,-0.0576967,-0.940797,2.10237, 1
0.15,-0.0671046,-0.909788,2.10237, 1
0.16,-0.0762025,-0.878996,2.10237, 1
0.17,-0.0849925,-0.84842,2.10237, 1
0.18,-0.0934767,-0.818062,2.10237, 1
0.19,-0.101657,-0.787923,2.10237, 1
0.2,-0.109537,-0.758004,2.10237, 1
0.21,-0.117117,-0.731449,1.78792, 1
0.22,-0.124431,-0.705084,1.78792, 1
0.23,-0.131482,-0.67891,1.78792, 1
0.24,-0.138271,-0.652927,1.78792, 1
0.25,-0.1448,-0.627135,1.78792, 1
0.26,-0.151072,-0.601537,1.78792, 1
0.27,-0.157087,-0.576131,1.78792, 1
0.28,-0.162848,-0.55092,1.78792, 1
0.29,-0.168357,-0.525903,1.78792, 1
0.3,-0.173617,-0.501081,1.78792, 1
0.31,-0.178627,-0.479075,1.5259, 1
0.32,-0.183418,-0.457239,1.5259, 1
0.33,-0.18799,-0.435574,1.5259, 1
0.34,-0.192346,-0.414079,1.5259, 1
0.35,-0.196487,-0.392756,1.5259, 1
0.36,-0.200415,-0.371604,1.5259, 1
0.37,-0.204131,-0.350625,1.5259, 1
0.38,-0.207637,-0.329818,1.5259, 1
0.39,-0.210935,-0.309185,1.5259, 1
0.4,-0.214027,-0.288725,1.5259, 1
0.41,-0.216914,-0.270605,1.30918, 1
0.42,-0.21962,-0.252638,1.30918, 1
0.43,-0.222147,-0.234824,1.30918, 1
0.44,-0.224495,-0.217162,1.30918, 1
0.45,-0.226666,-0.199654,1.30918, 1
0.46,-0.228663,-0.182299,1.30918, 1
0.47,-0.230486,-0.165097,1.30918, 1
0.48,-0.232137,-0.14805,1.30918, 1
0.49,-0.233617,-0.131156,1.30918, 1
0.5,-0.234929,-0.114416,1.30918, 1
0.51,-0.236073,-0.0996113,1.13116, 1
